tweet_id,timestamp,rating_numerator,rating_denominator,name,stage,favorite_count,retweet_count
890240255349198849,2017-07-26 15:59:51,14.0,10,Cassie,doggo,31354,7221
884162670584377345,2017-07-09 21:29:42,12.0,10,Yogi,doggo,20001,2930
872967104147763200,2017-06-09 00:02:31,12.0,10,None,doggo,27002,5354
871515927908634625,2017-06-04 23:56:03,12.0,10,Napolean,doggo,19985,3432
871102520638267392,2017-06-03 20:33:19,14.0,10,None,doggo,20710,5473
869596645499047938,2017-05-30 16:49:31,12.0,10,Scout,doggo,15862,3130
858843525470990336,2017-05-01 00:40:27,13.0,10,None,doggo,15697,3554
846514051647705089,2017-03-28 00:07:32,13.0,10,Barney,doggo,46358,12285
845397057150107648,2017-03-24 22:08:59,13.0,10,Mimosa,doggo,7941,1918
836753516572119041,2017-03-01 01:42:39,12.0,10,Meera,doggo,20188,4954
834574053763584002,2017-02-23 01:22:14,13.0,10,None,doggo,14395,2724
834089966724603904,2017-02-21 17:18:39,10.0,10,None,doggo,10571,2286
832998151111966721,2017-02-18 17:00:10,13.0,10,Rhino,doggo,13998,2391
832273440279240704,2017-02-16 17:00:25,14.0,10,Smiley,doggo,11917,2514
832032802820481025,2017-02-16 01:04:13,12.0,10,Miguel,doggo,18775,5008
831939777352105988,2017-02-15 18:54:34,12.0,10,Emanuel,doggo,25292,6628
831322785565769729,2017-02-14 02:02:51,12.0,10,Pete,doggo,9705,1649
829449946868879360,2017-02-08 22:00:52,11.0,10,None,doggo,11049,2202
829374341691346946,2017-02-08 17:00:26,13.0,10,Astrid,doggo,36555,10085
828381636999917570,2017-02-05 23:15:47,14.0,10,Doobert,doggo,13351,2413
826958653328592898,2017-02-02 01:01:21,12.0,10,Loki,doggo,22838,5429
826848821049180160,2017-02-01 17:44:55,13.0,10,Cupid,doggo,38614,11085
826476773533745153,2017-01-31 17:06:32,12.0,10,Pilot,doggo,19514,4547
826204788643753985,2017-01-30 23:05:46,13.0,10,None,doggo,5177,1012
821765923262631936,2017-01-18 17:07:18,13.0,10,Duchess,doggo,8941,1817
821407182352777218,2017-01-17 17:21:47,14.0,10,Sundance,doggo,12513,4742
821107785811234820,2017-01-16 21:32:06,11.0,10,None,doggo,10198,2320
819924195358416896,2017-01-13 15:08:56,11.0,10,None,doggo,13691,5278
819006400881917954,2017-01-11 02:21:57,14.0,10,Sunny,doggo,48083,20672
819004803107983360,2017-01-11 02:15:36,14.0,10,Bo,doggo,92019,40088
813910438903693312,2016-12-28 00:52:25,11.0,10,Chubbs,doggo,9927,2063
813202720496779264,2016-12-26 02:00:11,11.0,10,None,doggo,9804,1970
813127251579564032,2016-12-25 21:00:18,11.0,10,None,doggo,12672,3424
813096984823349248,2016-12-25 19:00:02,11.0,10,Rocky,doggo,11254,3947
800018252395122689,2016-11-19 16:49:49,11.0,10,None,doggo,30447,14488
799757965289017345,2016-11-18 23:35:32,13.0,10,Sobe,doggo,9017,2379
796484825502875648,2016-11-09 22:49:15,12.0,10,None,doggo,8131,1941
795464331001561088,2016-11-07 03:14:10,13.0,10,None,doggo,53445,26223
786363235746385920,2016-10-13 00:29:39,13.0,10,Rizzo,doggo,11683,3844
782747134529531904,2016-10-03 01:00:34,11.0,10,Deacon,doggo,7979,1526
782305867769217024,2016-10-01 19:47:08,12.0,10,Sampson,doggo,17814,6102
781655249211752448,2016-09-30 00:41:48,11.0,10,Combo,doggo,4277,1229
780074436359819264,2016-09-25 16:00:13,10.0,10,None,doggo,13077,5452
775733305207554048,2016-09-13 16:30:07,11.0,10,Anakin,doggo,14762,4369
775364825476165632,2016-09-12 16:05:54,11.0,10,Finley,doggo,7910,3238
771908950375665664,2016-09-03 03:13:29,13.0,10,None,doggo,6996,2060
768193404517830656,2016-08-23 21:09:14,8.0,10,Gerald,doggo,11590,3847
767191397493538821,2016-08-21 02:47:37,13.0,10,None,doggo,13033,4134
760893934457552897,2016-08-03 17:43:45,11.0,10,Wishes,doggo,4045,1053
760521673607086080,2016-08-02 17:04:31,12.0,10,None,doggo,4479,1513
758828659922702336,2016-07-29 00:57:05,13.0,10,None,doggo,11828,4146
757393109802180609,2016-07-25 01:52:43,10.0,10,None,doggo,6178,1887
756526248105566208,2016-07-22 16:28:07,13.0,10,None,doggo,10997,3905
755206590534418437,2016-07-19 01:04:16,14.0,10,None,doggo,17406,5813
752682090207055872,2016-07-12 01:52:49,10.0,10,None,doggo,6330,1733
752660715232722944,2016-07-12 00:27:52,10.0,10,None,doggo,4662,1704
752334515931054080,2016-07-11 02:51:40,8.0,10,None,doggo,4035,1187
750011400160841729,2016-07-04 17:00:26,11.0,10,Piper,doggo,3427,980
749075273010798592,2016-07-02 03:00:36,11.0,10,Boomer,doggo,6077,2227
748932637671223296,2016-07-01 17:33:49,13.0,10,Divine,doggo,6163,2427
748692773788876800,2016-07-01 01:40:41,10.0,10,None,doggo,4466,1427
745433870967832576,2016-06-22 01:50:58,10.0,10,Lenox,doggo,7457,2717
744234799360020481,2016-06-18 18:26:18,13.0,10,None,doggo,164441,83749
742534281772302336,2016-06-14 01:49:03,11.0,10,None,doggo,7396,3798
739623569819336705,2016-06-06 01:02:55,12.0,10,None,doggo,3983,1451
739238157791694849,2016-06-04 23:31:25,13.0,10,None,doggo,121461,62034
735256018284875776,2016-05-24 23:47:49,8.0,10,Kellogg,doggo,3499,946
732375214819057664,2016-05-17 01:00:32,11.0,10,Kyle,doggo,8464,2692
727644517743104000,2016-05-03 23:42:26,13.0,10,None,doggo,6165,1853
724771698126512129,2016-04-26 01:26:53,11.0,10,None,doggo,2475,682
719991154352222208,2016-04-12 20:50:42,10.0,10,None,doggo,5043,1855
716080869887381504,2016-04-02 01:52:38,11.0,10,None,doggo,7013,2039
883360690899218434,2017-07-07 16:22:55,13.0,10,Grizzwald,floofer,22286,3635
800388270626521089,2016-11-20 17:20:08,12.0,10,Doc,floofer,11951,3090
776218204058357768,2016-09-15 00:36:55,13.0,10,None,floofer,31995,17414
749317047558017024,2016-07-02 19:01:20,12.0,10,Blu,floofer,5782,2382
746542875601690625,2016-06-25 03:17:46,11.0,10,None,floofer,5293,2000
737445876994609152,2016-05-31 00:49:32,13.0,10,None,floofer,10781,4762
733822306246479872,2016-05-21 00:50:46,10.0,10,Moose,floofer,3839,1075
689993469801164801,2016-01-21 02:10:37,12.0,10,None,floofer,1537,486
685307451701334016,2016-01-08 03:50:03,11.0,10,Petrick,floofer,2173,471
886366144734445568,2017-07-15 23:25:31,12.0,10,Roscoe,pupper,20821,3138
882762694511734784,2017-07-06 00:46:41,12.0,10,Gus,pupper,27821,4824
881536004380872706,2017-07-02 15:32:16,14.0,10,None,pupper,48578,15648
876838120628539392,2017-06-19 16:24:33,12.0,10,Ginger,pupper,20358,3287
874296783580663808,2017-06-12 16:06:11,13.0,10,Jed,pupper,25679,4052
873213775632977920,2017-06-09 16:22:42,12.0,10,Sierra,pupper,7138,1566
871762521631449091,2017-06-05 16:15:56,12.0,10,Rover,pupper,20039,3453
866450705531457537,2017-05-22 00:28:40,13.0,10,Jamesy,pupper,122051,35480
854120357044912130,2017-04-17 23:52:16,14.0,10,None,pupper,32652,7775
850019790995546112,2017-04-06 16:18:05,12.0,10,Boomer,pupper,21112,5150
845306882940190720,2017-03-24 16:10:40,12.0,10,Pickles,pupper,24265,5720
837820167694528512,2017-03-04 00:21:08,12.0,10,None,pupper,35863,8425
837110210464448512,2017-03-02 01:20:01,13.0,10,Clark,pupper,16814,2562
836380477523124226,2017-02-28 01:00:19,12.0,10,Ava,pupper,15473,3180
833124694597443584,2017-02-19 01:23:00,12.0,10,Gidget,pupper,21255,5215
831315979191906304,2017-02-14 01:35:49,13.0,10,None,pupper,6891,1207
827933404142436356,2017-02-04 17:34:40,12.0,10,Kona,pupper,21301,5662
824325613288833024,2017-01-25 18:38:36,13.0,10,None,pupper,12503,11293
822462944365645825,2017-01-20 15:17:01,14.0,10,Gabe,pupper,30249,15970
819238181065359361,2017-01-11 17:42:57,10.0,10,None,pupper,2429,440
815966073409433600,2017-01-02 17:00:46,13.0,10,None,pupper,23951,9293
814986499976527872,2016-12-31 00:08:17,11.0,10,Cooper,pupper,8148,1417
811386762094317568,2016-12-21 01:44:13,11.0,10,Craig,pupper,22365,7017
808733504066486276,2016-12-13 18:01:07,12.0,10,None,pupper,8465,2385
807621403335917568,2016-12-10 16:22:02,14.0,10,Ollie,pupper,15601,4038
803638050916102144,2016-11-29 16:33:36,13.0,10,None,pupper,11773,4541
800459316964663297,2016-11-20 22:02:27,12.0,10,None,pupper,10145,2375
797971864723324932,2016-11-14 01:18:12,12.0,10,None,pupper,12499,3452
794205286408003585,2016-11-03 15:51:10,14.0,10,Laika,pupper,9868,3641
789903600034189313,2016-10-22 18:57:48,13.0,10,Ralphy,pupper,11146,4529
779377524342161408,2016-09-23 17:50:56,12.0,10,None,pupper,9411,3400
778039087836069888,2016-09-20 01:12:28,12.0,10,None,pupper,9033,2877
778027034220126208,2016-09-20 00:24:34,27.0,10,Sophie,pupper,6993,1769
776477788987613185,2016-09-15 17:48:25,11.0,10,Huck,pupper,9426,3054
776113305656188928,2016-09-14 17:40:06,11.0,10,Sampson,pupper,12524,4747
773985732834758656,2016-09-08 20:45:53,11.0,10,Winnie,pupper,11436,4224
773547596996571136,2016-09-07 15:44:53,11.0,10,Chelsea,pupper,23503,6709
772193107915964416,2016-09-03 22:02:38,12.0,10,Willem,pupper,6394,1503
765371061932261376,2016-08-16 02:14:15,11.0,10,Louie,pupper,7534,2338
759943073749200896,2016-08-01 02:45:22,12.0,10,None,pupper,6291,2261
756939218950160384,2016-07-23 19:49:07,12.0,10,Jax,pupper,7048,2171
755955933503782912,2016-07-21 02:41:54,12.0,10,None,pupper,7759,3123
751950017322246144,2016-07-10 01:23:49,13.0,10,Lola,pupper,3249,1005
751456908746354688,2016-07-08 16:44:23,12.0,10,None,pupper,3382,1076
750868782890057730,2016-07-07 01:47:22,11.0,10,Milo,pupper,5040,1494
